id,formal,url_pc,created_at,updated_at,address,tel,post,geocode,libkey,libid
46092,豊中市立いぶき図書室,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市服部西町1-13-1 青年の家いぶき内,06-6843-4553 [岡町図書館],561-0858,"135.466444,34.763143",いぶき,103167
46093,豊中市立利倉西センター図書室,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市利倉西1-4-22,06-6843-4533,561-0844,"135.4529962,34.7619873",利倉西セン,120156
46094,豊中市動く図書館「とよ1ぶっくる」,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市岡町北3-4-2,06-6843-4553,561-0884,"135.4635143,34.7803382",動く図書館,103179
46095,豊中市立千里図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市新千里東町1-2-2 千里文化センター「コラボ」4F,06-6831-0225,560-0082,"135.4944821,34.8105855",千里,103181
46096,豊中市立岡町図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市岡町北3-4-2,06-6843-4553,561-0884,"135.4635143,34.7803382",岡町,103187
46097,豊中市立庄内幸町図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市庄内幸町4-26-14,06-6332-8220,561-0833,"135.4684203,34.7469001",幸町,103188
46098,豊中市立庄内図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市庄内幸町4-29-1,06-6334-1261,561-0833,"135.470806,34.747090",庄内,103189
46099,豊中市立服部図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市服部本町5-2-8,06-6862-0800,561-0852,"135.477341,34.769403",服部,103191
46100,豊中市立東豊中図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市東豊中町5-2-1,06-6856-4660,560-0003,"135.4884067,34.7950364",東豊中,103193
46101,豊中市立蛍池図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市蛍池中町3-2-1-502 ルシオーレビル5F,06-6840-8000,560-0033,"135.4489289,34.7941224",蛍池,103196
46102,豊中市バス図書室,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市上津島3丁目4-1 豊島西小学校内,06-6843-4553 [岡町図書館],561-0843,"135.458404,34.759224",豊島西,103199
46103,豊中市立野畑図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市春日町4-11-1,06-6845-2400,560-0052,"135.4700742,34.8115262",野畑,103201
46104,豊中市立高川図書館,https://www.lib.toyonaka.osaka.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市豊南町東1-1-2,06-6336-6901,561-0814,"135.483612,34.753570",高川,103202
46134,とよなか男女共同参画推進センターすてっぷ情報ライブラリー,http://toyonaka-step.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市玉井町1-1-1-501,06-6844-9735,560-0026,"135.4612643,34.7869207",とよなかすてっぷ,119439
46140,大阪音楽大学付属図書館,http://www.daion.ac.jp/about/library/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市庄内幸町1-1-8,06-6334-2934,561-8555,"135.470284,34.754638",図書館,113614
46169,大阪大学大学院法学研究科ローライブラリー,https://www.library.osaka-u.ac.jp/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市待兼山町1-6 豊中キャンパス 法経研究棟2階,06-6850-5179,560-0043,"135.454094,34.804663",法資,120360
46172,大阪大学附属図書館総合図書館,https://www.library.osaka-u.ac.jp/sougou/,2025-02-22 08:43:05 UTC,2025-02-22 08:43:05 UTC,大阪府豊中市待兼山町1-4,06-6850-5067,560-0043,"135.455143,34.805083",総合図,105731
